"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AT6","AU1","AU2","AU3","AW1","AW2","AW3","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","MA1","MV1","MW1","MW2","MW3","OC1","REM","EQD"
"72503814714","2017-01-01T00:25:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-16","99999","V020","200,1,N,0072,1","00914,1,9,N","011265,1,9,9","+0040,1","-0040,1","99999,9",,,,,,,,,,,,,,,,,"3,99,1,+00914,1,9","4,99,1,+02134,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10132,1,99999,9",,"71,1",,,"0113,1","MET065SPECI KSWF 010025Z 20014G22KT 7SM -SN BKN030 OVC070 04/M04 A2992=",
"72503814714","2017-01-01T00:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","230,1,N,0051,1","00914,1,9,N","016093,1,9,9","+0040,1","-0030,1","99999,9",,,,,,,,,,,,,,,,,"4,99,1,+00914,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10125,1,99999,9",,,,,"0108,1","MET055METAR KSWF 010045Z 23010G21KT 10SM OVC030 04/M03 A2990=",
"72503814714","2017-01-01T01:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","230,1,N,0041,1","02134,1,9,N","016093,1,9,9","+0040,1","-0030,1","99999,9",,,,,,,,,,,,,,,,,"3,99,1,+02134,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02134,1,99,9,99,9","10115,1,99999,9",,,,,"0072,1","MET055METAR KSWF 010145Z 23008G14KT 10SM BKN070 04/M03 A2987=",
"72503814714","2017-01-01T02:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","210,1,N,0031,1","02134,1,9,N","016093,1,9,9","+0040,1","-0030,1","99999,9",,,,,,,,,,,,,,,,,"2,99,1,+01219,1,9","4,99,1,+02134,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01219,1,99,9,99,9","10115,1,99999,9",,,,,,"MET059METAR KSWF 010245Z 21006KT 10SM SCT040 OVC070 04/M03 A2987=",
"72503814714","2017-01-01T03:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","210,1,N,0031,1","02134,1,9,N","016093,1,9,9","+0040,1","-0040,1","99999,9",,,,,,,,,,,,,,,,,"4,99,1,+02134,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02134,1,99,9,99,9","10112,1,99999,9",,,,,,"MET052METAR KSWF 010345Z 21006KT 10SM OVC070 04/M04 A2986=",
"72503814714","2017-01-01T04:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","999,9,C,0000,5","02134,5,M,N","016093,5,N,5","+0040,C","-0040,C","99999,9",,,,,,,,,,,,,,"08,5,+02134,5,99,9",,,"4,99,1,+02134,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02134,1,99,9,99,9","10112,5,09933,5",,,,,,"MET07312/31/16 23:45:02 METAR KSWF 010445Z 00000KT 10SM OVC070 04/M04 A2986 RMK","R01    047TMP046R02   M047DPT046"
"72503814714","2017-01-01T05:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0072,5","02134,5,M,N","016093,5,N,5","+0050,C","-0040,C","99999,9",,,,,,,,,,,,,,"08,5,+02134,5,99,9",,,"4,99,1,+02134,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02134,1,99,9,99,9","10112,5,09933,5",,,,,,"MET07301/01/17 00:45:02 METAR KSWF 010545Z 25014KT 10SM OVC070 05/M04 A2986 RMK","R01    057TMP046R02   M047DPT046"
"72503814714","2017-01-01T06:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0072,5","02134,5,M,N","016093,5,N,5","+0050,C","-0030,C","99999,9",,,,,,,,,,,,,,"08,5,+02134,5,99,9",,,"4,99,1,+02134,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02134,1,99,9,99,9","10115,5,09936,5",,,,,,"MET07301/01/17 01:45:02 METAR KSWF 010645Z 25014KT 10SM OVC070 05/M03 A2987 RMK","R01    057TMP046R02   M037DPT046"
"72503814714","2017-01-01T07:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","250,5,N,0072,5","02134,5,M,N","016093,5,N,5","+0050,C","-0030,C","99999,9",,,,,,,,,,,,,,"08,5,+02134,5,99,9",,,"4,99,1,+02134,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02134,1,99,9,99,9","10115,5,09936,5",,,,,,"MET07301/01/17 02:45:02 METAR KSWF 010745Z 25014KT 10SM OVC070 05/M03 A2987 RMK","R01    057TMP046R02   M037DPT046"
"72503814714","2017-01-01T08:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0041,5","01524,5,M,N","016093,5,N,5","+0050,C","-0030,C","99999,9",,,,,,,,,,,,,,"07,5,+01524,5,99,9",,,"3,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10129,5,09950,5",,,,,,"MET07301/01/17 03:45:02 METAR KSWF 010845Z 24008KT 10SM BKN050 05/M03 A2991 RMK","R01    057TMP046R02   M037DPT046"
"72503814714","2017-01-01T10:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","240,5,N,0051,5","01524,5,M,N","016093,5,N,5","+0040,C","-0020,C","99999,9",,,,,,,,,,,,,,"07,5,+01524,5,99,9",,,"3,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10142,5,09963,5",,,,,,"MET07301/01/17 05:45:02 METAR KSWF 011045Z 24010KT 10SM BKN050 04/M02 A2995 RMK","R01    047TMP046R02   M027DPT046"
"72503814714","2017-01-01T11:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","280,5,N,0051,5","02438,5,M,N","024140,5,N,5","+0020,C","-0020,C","99999,9",,,,,,,,,,,,,,"04,5,+01524,5,99,9","07,5,+02438,5,99,9",,"2,99,1,+01524,5,9","3,99,1,+02438,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10159,5,09980,5",,,,,,"MET08001/01/17 06:45:02 METAR KSWF 011145Z 28010KT 15SM SCT050 BKN080 02/M02 A3000 RMK","R01    027TMP046R02   M027DPT046"
"72503814714","2017-01-01T12:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","290,5,N,0051,5","22000,5,9,N","032187,5,N,5","+0020,C","-0020,C","99999,9",,,,,,,,,,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10166,5,09986,5",,,,,,"MET07301/01/17 07:45:02 METAR KSWF 011245Z 29010KT 20SM SCT050 02/M02 A3002 RMK","R01    027TMP046R02   M027DPT046D01      0ADE726"
"72503814714","2017-01-01T13:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","290,5,N,0051,5","22000,5,9,N","032187,5,N,5","+0040,C","-0030,C","99999,9",,,,,,,,,,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10186,5,10006,5",,,,,,"MET07301/01/17 08:45:02 METAR KSWF 011345Z 29010KT 20SM SCT050 04/M03 A3008 RMK","R01    047TMP046R02   M037DPT046D01      0ADE726"
"72503814714","2017-01-01T14:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","300,5,N,0062,5","22000,5,9,N","032187,5,N,5","+0050,C","-0050,C","99999,9",,,,,,,,,,,,,,"02,5,+01524,5,99,9",,,"1,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01524,1,99,9,99,9","10207,5,10026,5",,,,,,"MET07301/01/17 09:45:02 METAR KSWF 011445Z 30012KT 20SM FEW050 05/M05 A3014 RMK","R01    057TMP046R02   M057DPT046D01      0ADE726"
"72503814714","2017-01-01T15:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","300,5,N,0051,5","22000,5,9,N","032187,5,N,5","+0060,C","-0040,C","99999,9",,,,,,,,,,,,,,"02,5,+01524,5,99,9",,,"1,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01524,1,99,9,99,9","10217,5,10037,5",,,,,,"MET07301/01/17 10:45:02 METAR KSWF 011545Z 30010KT 20SM FEW050 06/M04 A3017 RMK","R01    067TMP046R02   M047DPT046D01      0ADE726"
