"Result","V1","V2","V3","V4","V5","V6"
"result.1","0","0","0","0","0","0"
"result.1","1","0","0","0","0","0"
"result.1","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.1","64","4390.39990234375","201120.822875977","2382.92944335938","1568181.375","552399.677179268"
"result.1","128","3006.681640625","200047.729797363","2213.80297851562","1568175.25","552824.358310873"
"result.1","256","2872.82690429688","200862.809295654","2199.17114257812","1568174.75","552507.888719122"
"result.1","1","4163.83923339844","200825.807128906","2338.48217773438","1568217.625","552523.527627293"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.2","0","0","0","0","0","0"
"result.2","2","0","0","0","0","0"
"result.2","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.2","64","6411.67626953125","217360.097961426","3038.13842773438","1695777.375","597377.276750503"
"result.2","128","5893.11059570312","216999.024078369","3587.89672851562","1695781.125","597522.285702017"
"result.2","256","5741.041015625","216533.754974365","2347.73901367188","1695794.625","597716.017461262"
"result.2","1","7057.78540039062","217806.4972229","3225.10717773438","1695762.875","597189.467598562"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.3","0","0","0","0","0","0"
"result.3","3","0","0","0","0","0"
"result.3","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.3","64","6687.84655761719","217477.262145996","2658.1171875","1695755.25","597325.235188022"
"result.3","128","5892.81958007812","217509.346618652","2655.77880859375","1695778.5","597322.598087308"
"result.3","256","5490.294921875","216830.386352539","2840.7646484375","1695760.75","597585.029169827"
"result.3","1","6026.4482421875","217364.81237793","3072.75610351562","1695801.875","597387.818650871"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.4","0","0","0","0","0","0"
"result.4","4","0","0","0","0","0"
"result.4","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.4","64","7247.22705078125","200897.680175781","2400.91479492188","1564269.375","550893.937531956"
"result.4","128","5973.80908203125","200321.055664062","2204.80346679688","1564269.625","551123.497930691"
"result.4","256","5909.68896484375","200868.148162842","3139.59375","1564246.875","550895.203069213"
"result.4","1","5404.94946289062","200583.282470703","2283.69506835938","1564245.375","551010.220854121"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.5","0","0","0","0","0","0"
"result.5","5","0","0","0","0","0"
"result.5","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.5","64","6279.26806640625","217005.873596191","2160.74658203125","1695781.25","597523.844766306"
"result.5","128","7397.052734375","217639.42086792","2649.298828125","1695805.5","597279.24702075"
"result.5","256","7808.58862304688","218265.02947998","1979.07470703125","1695811.875","597035.674677874"
"result.5","1","7388.56127929688","217629.456970215","2172.50830078125","1695804","597283.466488647"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.6","0","0","0","0","0","0"
"result.6","6","0","0","0","0","0"
"result.6","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.6","64","6195.23120117188","201617.979095459","3150.328125","1568177.625","552181.380535597"
"result.6","128","7473.93920898438","202633.220336914","3764.71826171875","1568215.5","551787.702023625"
"result.6","256","7593.880859375","202157.510131836","2499.9541015625","1568156.5","551964.952884502"
"result.6","1","6113.97314453125","202188.20513916","2649.27368164062","1568183.25","551965.760053551"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.7","0","0","0","0","0","0"
"result.7","7","0","0","0","0","0"
"result.7","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.7","64","7070.681640625","217298.783843994","2631.2138671875","1695781.125","597404.633377897"
"result.7","128","7182.044921875","217459.998474121","2742.943359375","1695777.875","597338.777819898"
"result.7","256","8952.62524414062","218967.917053223","2451.43872070312","1695777.875","596736.457243295"
"result.7","1","7835.90185546875","218679.8878479","2744.6826171875","1695807.25","596867.4431964"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.8","0","0","0","0","0","0"
"result.8","8","0","0","0","0","0"
"result.8","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.8","64","6177.31616210938","203278.189422607","3372.69848632812","1564216.75","549949.683646718"
"result.8","128","5653.46411132812","200495.06036377","2717.392578125","1564274.5","551055.21730302"
"result.8","256","5927.77124023438","200079.515167236","2112.36083984375","1564266.25","551218.077625482"
"result.8","1","5985.72973632812","201012.142089844","3410.36352539062","1564233.125","550829.29914621"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.9","0","0","0","0","0","0"
"result.9","9","0","0","0","0","0"
"result.9","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.9","64","4498.36572265625","217043.488098145","2583.39575195312","1695786.75","597521.172633413"
"result.9","128","5276.53393554688","217126.963134766","2779.78344726562","1695785.375","597479.059018342"
"result.9","256","4912.15441894531","216926.278991699","2701.48486328125","1695772.875","597557.171707179"
"result.9","1","5027.5390625","216685.23147583","2920.86254882812","1695792.5","597658.989474536"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.10","0","0","0","0","0","0"
"result.10","10","0","0","0","0","0"
"result.10","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.10","64","6643.46215820312","226742.861206055","2819.03979492188","1767190.75","622444.895479323"
"result.10","128","6531.61157226562","227176.543457031","2854.9267578125","1767210.125","622282.760309192"
"result.10","256","6595.47338867188","227237.235046387","3056.48559570312","1767196.25","622252.492957889"
"result.10","1","5929.08898925781","226627.158172607","2962.94604492188","1767192.25","622495.784682775"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.11","0","0","0","0","0","0"
"result.11","11","0","0","0","0","0"
"result.11","bs","mediana","média","mínimo","máximo","desvio-padrão"
"result.11","64","4941.0576171875","225822.476501465","2672.9580078125","1767193.375","622819.899778856"
"result.11","128","4656.54711914062","226569.283660889","2849.0947265625","1767197.5","622530.310140918"
"result.11","256","4059.69006347656","225564.609405518","2184.39038085938","1767181.625","622919.02308605"
"result.11","1","5888.36547851562","227033.586212158","2823.27587890625","1767188.25","622338.823019666"
"","","","","","",""
