"","ALB","ART","BGM","BUF","HPN","JFK","LGA","MSS","RME","ROC","SYR"
"A",390408.972639448,254158.689483026,219332.362508578,32025.9635396967,441143.240562075,458515.451108033,443889.154374944,391888.951780293,265908.74681743,89802.6893911998,207230.0891573
"B_one",276894.790270313,135410.91280532,139340.692037285,128754.462832224,364800.595491636,392654.516323963,376257.598759525,275789.662850782,143740.343982268,40594.7198118673,85930.4209066133
"B_two",352651.902172203,245760.197503498,173468.07845288,82265.7586866603,390883.942559507,406871.14913132,392478.150364654,386125.413891579,238108.558494386,89848.6209761642,180651.114025181
"C",234906.83713401,163218.764714289,71872.5563037833,172411.359312977,299376.088859888,325195.270271914,309013.957647798,297874.680844728,124236.029250518,99548.6920785624,72566.2583203999
"D",197677.267542844,171211.999893471,302991.941732017,419249.436796217,384846.162181942,432023.904426018,416669.045952658,81155.7558442943,182296.714955696,332742.646543408,230434.659621954
"E",132960.074577218,94079.7903983791,154544.415028007,297751.664450175,289696.753523424,331881.576746134,314973.37594721,167192.26481711,32873.4036838163,208611.215396276,87625.8403817015
"F",51930.2222729574,187362.951333851,197715.855661653,387881.537388271,238129.583410541,285113.355603375,269679.3106975,205542.343309367,116047.065245068,299812.151453181,173599.023489414
"G",115039.812948306,298138.14050723,167151.44740817,406490.870454581,79824.4600377488,123943.143876652,107684.614664429,362035.237546187,199633.927516462,333785.133949859,227656.500527889
