"Result","V1","V2","V3","V4","V5","V6"
"result.1","0","0","0","0","0","0"
"result.1","1","0","0","0","0","0"
"result.1","ep","mediana","média","mínimo","máximo","desvio-padrão"
"result.1","100","6959.30395507812","403719.843841553","3822.14526367188","3162295.5","1114665.62039077"
"result.1","150","7403.62646484375","392288.283813477","4499.771484375","3085219.75","1088112.5932088"
"result.1","200","6994.00390625","382438.010864258","3872.9033203125","3009480.5","1061487.86078344"
"result.1","50","16654.2280273438","423646.41192627","7283.9619140625","3240799","1138491.77398446"
"result.1","300","9512.8583984375","365170.321594238","4175.88818359375","2861581.25","1008707.19335297"
"result.1","350","5971.53784179688","354362.87689209","4214.89453125","2789451.5","983926.479878299"
"result.1","400","7431.72241210938","345658.052246094","4459.97900390625","2718617.5","958822.475084556"
"result.1","450","6880.57788085938","337223.10925293","5099.6474609375","2648736.25","933993.744561751"
"result.1","500","7681.4775390625","329635.924987793","4259.92333984375","2580183.5","909364.73482061"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.2","0","0","0","0","0","0"
"result.2","2","0","0","0","0","0"
"result.2","ep","mediana","média","mínimo","máximo","desvio-padrão"
"result.2","100","12805.3759765625","435202.234008789","6630.7099609375","3277352.5","1149271.47354688"
"result.2","150","8709.904296875","423341.253967285","4997.67236328125","3255814.5","1144802.66499998"
"result.2","200","7743.47021484375","416744.971740723","4843.087890625","3234389","1138637.58513021"
"result.2","50","30397.6572265625","468501.950927734","10803.48828125","3298989.25","1147084.98753006"
"result.2","300","6275.86572265625","407822.016174316","4301.86279296875","3191796.25","1124939.45838326"
"result.2","350","6934.77294921875","404305.088745117","4073.47314453125","3170636","1117793.70385362"
"result.2","400","7661.15698242188","402086.175231934","4426.90869140625","3149567","1110173.61712453"
"result.2","450","6381.5927734375","398568.909118652","4565.3623046875","3128583.5","1103107.70352843"
"result.2","500","7460.5400390625","395276.425598145","4184.0224609375","3107697.25","1095992.12085705"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.3","0","0","0","0","0","0"
"result.3","3","0","0","0","0","0"
"result.3","ep","mediana","média","mínimo","máximo","desvio-padrão"
"result.3","100","14483.4448242188","432080.234313965","5647.02978515625","3278428","1150633.10951537"
"result.3","150","7191.23754882812","420156.286987305","4312.39501953125","3257432","1146597.63952735"
"result.3","200","5952.45776367188","415224.248413086","4173.16015625","3236524.75","1140065.44155003"
"result.3","50","26699.8681640625","454380.557739258","15862.0478515625","3299532.25","1151110.79544183"
"result.3","300","6309.6982421875","406394.425292969","3882.18408203125","3194998.25","1126782.13720488"
"result.3","350","4582.17749023438","401895.971191406","3535.96948242188","3174355.75","1120246.54524289"
"result.3","400","4685.89501953125","399718.520477295","3478.39013671875","3153797.5","1112823.72887357"
"result.3","450","5022.63891601562","397160.551452637","4073.78759765625","3133342.5","1105589.5502984"
"result.3","500","5250.142578125","394689.917541504","4160.66552734375","3112955.5","1098349.16321744"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.4","0","0","0","0","0","0"
"result.4","4","0","0","0","0","0"
"result.4","ep","mediana","média","mínimo","máximo","desvio-padrão"
"result.4","100","7668.68188476562","403259.920166016","4346.7431640625","3164642.25","1115782.77237067"
"result.4","150","8685.99389648438","398590.660552979","3038.46997070312","3088643.25","1087043.95884878"
"result.4","200","8458.06958007812","385213.377349854","3018.00756835938","3013848","1062147.24729739"
"result.4","50","12296.6958007812","423386.510742188","5728.9560546875","3241977","1139145.62276931"
"result.4","300","7340.27514648438","364485.263580322","3453.34594726562","2868048","1011595.70474802"
"result.4","350","9102.58544921875","356610.55090332","3401.1279296875","2796857.5","986014.462685037"
"result.4","400","7616.45092773438","347108.869140625","4558.4658203125","2726961.5","961607.07396017"
"result.4","450","8430.10034179688","339050.334411621","4405.650390625","2657922.75","936968.93751414"
"result.4","500","8222.93090820312","330847.285400391","4856.0322265625","2590141.75","912896.485778928"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.5","0","0","0","0","0","0"
"result.5","5","0","0","0","0","0"
"result.5","ep","mediana","média","mínimo","máximo","desvio-padrão"
"result.5","100","17929.0595703125","433427.937194824","4135.44677734375","3278438.5","1149957.54628813"
"result.5","150","12824.7001953125","421997.909545898","4461.7197265625","3257439.75","1145820.92439802"
"result.5","200","10510.6767578125","416506.287658691","4263.673828125","3236539.25","1139534.68233172"
"result.5","50","36351.638671875","457256.461669922","9601.923828125","3299529.75","1149595.11389184"
"result.5","300","11029.4975585938","408042.587615967","3843.28344726562","3195005.25","1126116.33269289"
"result.5","350","11299.2807617188","405066.994812012","3847.42822265625","3174348","1118968.4266176"
"result.5","400","10330.1240234375","402251.393493652","4775.9521484375","3153816","1111804.19666988"
"result.5","450","10920.79296875","399821.372497559","4649.724609375","3133334.25","1104510.69156439"
"result.5","500","8825.3984375","396059.456420898","3812.21704101562","3112952.25","1097796.20281554"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.6","0","0","0","0","0","0"
"result.6","6","0","0","0","0","0"
"result.6","ep","mediana","média","mínimo","máximo","desvio-padrão"
"result.6","100","11250.6328125","416589.147216797","5319.84814453125","3237703","1139934.63257624"
"result.6","150","15704.029296875","410044.198608398","4659.64599609375","3196727","1126006.86669707"
"result.6","200","8330.49731445312","401980.278198242","4288.4951171875","3156109","1112841.73472402"
"result.6","50","22132.646484375","439380.409606934","6431.94384765625","3279013","1147787.93443834"
"result.6","300","15029.7153320312","394557.309051514","3110.79223632812","3076010.75","1083487.47106175"
