"","lr","Mediana","Média","Mínimo","Máximo","Desvio-padrão"
"1",0.0881991147409473,562.428070068359,"15607.9614524841","357.292541503906","120512.953125","42389.0190563403"
"2",0.01,484.377639770508,"25050.7731704712","186.200378417969","193393.328125","68035.2833220491"
"3",0.0242012058128766,497.58869934082,"22792.1589927673","143.671188354492","178379.09375","62867.9935741668"
"4",0.0235920091076358,522.763198852539,"22941.1256904602","353.328704833984","179007.25","63061.5283169775"
"5",0.0235920091076358,543.974319458008,"22958.0706176758","307.742462158203","179005.21875","63053.5807695548"
"6",0.0235920091076358,583.296829223633,"22891.067855835","241.652740478516","179002.390625","63079.3704580398"
"7",0.0235920091076358,549.996734619141,"22857.1521568298","234.812103271484","179010.140625","63095.8684540859"
"8",0.01,551.394622802734,"25216.5109443665","287.631469726562","193392.078125","67975.9397632664"
"9",0.0242012058128766,458.031555175781,"22847.9076480865","221.755355834961","178382.390625","62847.8322394461"
"10",0.0242012058128766,471.367126464844,"22773.5351867676","288.579223632812","178382.546875","62876.3678051762"
"11",0.01,445.881072998047,"24849.5331497192","299.131652832031","193392.9375","68107.1236505706"
