"","lr","Mediana","Média","Mínimo","Máximo","Desvio-padrão"
"1",0.0235920091076358,4867.56701660156,"171880.68031311","1299.81066894531","1336079.5","470430.16760398"
"2",0.0881991147409473,6096.67578125,"151235.184234619","2566.27075195312","1165069.625","409667.990759705"
"3",0.01,4858.955078125,"177233.130584717","1582.86499023438","1374351.5","483733.223208828"
"4",0.0465364168236498,5991.5576171875,"164449.139755249","2014.74597167969","1273311.5","448066.920930459"
"5",0.0465364168236498,3958.26196289062,"162455.038375854","1475.86340332031","1273312","448857.685067299"
"6",0.0881991147409473,6442.33642578125,"150453.831039429","1546.85913085938","1165061.125","409977.679912107"
"7",0.0895219530763477,4302.86096191406,"148710.989532471","1594.9111328125","1161754.125","409336.914510979"
"8",0.0465364168236498,5147.87377929688,"163925.04095459","2350.134765625","1273283.375","448260.315479896"
"9",0.0881991147409473,5254.80249023438,"151711.504669189","2458.451171875","1165048.25","409493.586388672"
"10",0.0465364168236498,5943.80078125,"164077.895874023","2008.74755859375","1273300.75","448206.81771361"
"11",0.0881991147409473,5124.353515625,"150479.137817383","2970.84106445312","1165095.125","409976.033157158"
