"","lr","Mediana","Média","Mínimo","Máximo","Desvio-padrão"
"1",0.0895219530763477,7214.08984375,"372871.183654785","4344.09814453125","2934835.5","1035192.40235225"
"2",0.0242012058128766,6991.21215820312,"412190.676452637","5126.43603515625","3213042.25","1131794.27899534"
"3",0.0235920091076358,4875.24975585938,"408925.223052979","3834.05541992188","3215730.75","1134148.30503172"
"4",0.0881991147409473,7003.18481445312,"373438.515411377","3550.99584960938","2940378.5","1037203.44876117"
"5",0.0235920091076358,10250.7724609375,"410305.866699219","4144.96240234375","3215726.25","1133576.9641099"
"6",0.0465364168236498,9498.32397460938,"397402.230651855","3423.8291015625","3115894.75","1098446.15818727"
"7",0.0895219530763477,8905.33935546875,"374854.298492432","3872.52368164062","2934852.75","1034404.06303744"
"8",0.0235920091076358,7377.03686523438,"410510.37109375","4565.46484375","3215730.25","1133504.79469826"
"9",0.0465364168236498,5082.326171875,"394889.725952148","3540.44580078125","3115912","1099465.52783332"
"10",0.0242012058128766,6806.10180664062,"409465.545837402","3492.75634765625","3213064.5","1132853.54833285"
"11",0.0881991147409473,5461.4482421875,"372951.473205566","3662.66748046875","2940352","1037389.66682143"
