"","lr","Mediana","Média","Mínimo","Máximo","Desvio-padrão"
"1",0.0881991147409473,3279.55798339844,"200725.185699463","2364.10913085938","1568182.375","552564.303249313"
"2",0.0465364168236498,4699.744140625,"216627.518188477","2842.38989257812","1695793.125","597677.743731455"
"3",0.0465364168236498,4790.279296875,"217066.409729004","2340.29760742188","1695775.5","597503.492554826"
"4",0.0895219530763477,5174.05908203125,"200359.090484619","2310.18530273438","1564245.75","551100.165700951"
"5",0.0465364168236498,7534.78686523438,"217960.830963135","2446.88916015625","1695773.875","597135.418695295"
"6",0.0881991147409473,7045.41650390625,"202166.559020996","2843.16723632812","1568168.875","551957.941121012"
"7",0.0465364168236498,7546.4072265625,"217714.60736084","2412.63110351562","1695772.25","597233.707524827"
"8",0.0895219530763477,5144.380859375,"199963.272186279","2437.81787109375","1564266","551265.400543395"
"9",0.0465364168236498,3797.41284179688,"217781.510955811","2966.248046875","1695788.5","597241.306631216"
"10",0.0242012058128766,5590.89672851562,"226250.884094238","2782.39916992188","1767194.375","622643.302507764"
"11",0.0242012058128766,3648.11584472656,"227780.038970947","2768.03979492188","1767185.625","622090.414577161"
