"","lr","Mediana","Média","Mínimo","Máximo","Desvio-padrão"
"1",0.0465364168236498,7559.7890625,"391620.429016113","4218.4287109375","3069674.75","1082121.35454925"
"2",0.0895219530763477,6401.78100585938,"367636.946380615","3369.5087890625","2889682.25","1019071.66524485"
"3",0.0235920091076358,5842.69360351562,"403132.151916504","2680.34692382812","3168978.25","1117591.90295086"
"4",0.0465364168236498,4383.26806640625,"388892.576019287","2921.9794921875","3069691.25","1083215.83017614"
"5",0.0235920091076358,8992.54150390625,"404617.546112061","3318.14013671875","3168971","1116991.47507772"
"6",0.0881991147409473,8664.01391601562,"368761.813018799","3765.44018554688","2895125.25","1020811.95041522"
"7",0.0235920091076358,8329.58178710938,"404529.29107666","3514.98876953125","3168980.25","1117033.80976733"
"8",0.0242012058128766,7699.849609375,"404436.976928711","3047.2646484375","3166301.75","1115983.15243017"
"9",0.0465364168236498,7973.38208007812,"390277.319396973","3188.26147460938","3069683.75","1082649.95571082"
"10",0.0235920091076358,4507.66821289062,"402994.622131348","2466.92626953125","3168967.25","1117648.6648157"
"11",0.0465364168236498,5589.8916015625,"389658.33303833","3130.29638671875","3069665.75","1082891.7298157"
