ALB,ART,BGM,BUF,HPN,JFK,LGA,MSS,RME,ROC,SYR
-3.35,-2.25,-3.91,0.05,1.75,3.95,3.95,-9.45,-3.95,0.05,-3.35
-2.25,-2.25,-3.91,-0.65,1.15,4.45,1.75,-9.45,-3.35,0.05,-3.35
-2.85,-2.25,-3.31,-1.15,-0.65,4.45,1.15,-10.65,-3.95,-0.65,-3.95
-3.95,-0.65,-2.25,0.05,0.05,3.95,0.65,-9.45,-3.91,0.05,-3.95
-3.95,-2.25,-2.25,0.65,0.65,3.95,1.15,-8.35,-3.95,0.65,-3.35
-3.95,-2.25,-1.75,0.65,1.15,4.45,2.25,-8.95,-3.35,0.65,-3.35
-2.25,-1.75,-0.65,1.15,1.75,5.65,2.25,-9.45,-2.85,1.15,-1.75
-1.75,1.75,0.05,1.15,1.75,6.75,2.85,-9.45,-2.25,1.75,0.05
-2.25,2.25,0.65,2.85,1.75,6.75,3.35,-8.95,-0.65,2.85,1.15
-1.15,3.35,1.15,3.95,2.85,7.85,3.35,-7.85,0.05,4.45,2.85
0.05,4.45,1.75,4.45,2.85,7.85,3.95,-9.45,0.65,5.05,3.95
0.61,5.05,1.75,6.15,3.35,7.85,4.45,-8.95,0.65,5.65,3.95
0.65,5.65,2.25,8.35,3.95,6.15,5.05,-7.25,0.65,5.65,4.45
0.65,5.65,2.25,10.05,4.45,6.75,5.05,-6.15,0.65,6.75,5.05
1.15,5.65,2.81,10.05,4.45,6.75,5.05,-5.65,1.15,7.85,5.65
1.15,5.05,3.35,10.65,4.45,7.25,5.05,-3.95,1.15,8.95,5.65
1.15,6.75,3.91,11.15,3.95,7.25,5.05,-3.95,1.75,9.45,5.65
2.25,7.25,3.91,11.75,3.95,6.75,5.05,-3.95,2.25,10.65,6.15
2.25,7.85,3.91,11.15,3.95,7.85,6.75,-3.35,2.25,10.65,5.65
2.25,8.35,4.41,8.95,3.95,7.85,7.25,-3.35,2.85,11.75,5.65
2.85,9.45,5.05,8.35,3.95,7.85,7.25,-3.35,2.25,12.85,7.85
3.35,6.15,6.15,8.35,5.05,7.85,7.25,-2.85,2.25,13.35,7.25
3.35,8.35,5.65,7.85,6.15,8.35,7.85,-1.15,2.85,11.15,4.45
3.95,3.95,6.75,7.85,6.75,8.95,8.35,-1.15,5.05,10.65,8.95
4.45,11.75,7.85,6.75,7.85,10.05,10.05,-0.65,5.65,10.65,11.75
5.05,10.65,9.45,5.05,8.95,10.65,10.65,0.05,6.75,11.15,12.25
5.65,10.05,10.05,4.45,8.95,12.25,11.15,0.05,7.85,8.35,10.05
6.15,10.05,10.05,3.95,10.05,12.25,11.75,0.05,6.75,6.75,10.65
6.15,7.25,9.45,2.85,11.15,11.15,12.85,2.85,5.01,6.15,8.95
5.65,5.65,9.45,2.25,11.15,11.15,13.35,5.65,5.05,5.65,6.75
6.15,5.05,8.35,2.25,11.75,10.65,13.35,5.65,5.05,4.45,5.05
6.15,4.45,7.25,1.75,11.15,10.05,13.35,4.45,3.95,3.95,4.45
6.75,4.45,5.65,0.65,11.15,10.05,12.25,2.85,3.95,2.85,3.95
6.75,1.75,5.65,0.65,11.15,12.25,12.25,2.25,4.45,1.75,3.35
6.15,0.05,2.25,0.65,11.15,12.25,11.75,-2.25,3.35,1.15,2.25
5.65,0.05,1.75,-1.15,10.05,11.75,11.15,-3.95,1.75,1.15,0.65
5.65,0.05,1.15,-2.25,8.95,10.65,10.65,-5.05,0.65,-0.65,0.65
4.45,0.05,1.15,-3.35,7.85,9.45,9.45,-5.05,0.65,-1.15,0.05
2.85,0.05,0.65,-4.45,6.75,8.35,8.35,-5.65,0.65,-2.85,-1.75
2.25,-1.15,-1.15,-5.05,6.15,7.85,7.25,-3.95,-1.15,-4.45,-2.25
1.15,-2.25,-2.25,-6.15,5.05,6.75,6.75,-6.15,-2.25,-4.45,-3.35
0.65,-4.45,-3.35,-7.85,5.05,5.65,5.65,-10.65,-2.85,-4.45,-4.45
-1.15,-5.65,-4.45,-8.35,4.45,5.65,5.05,-11.75,-3.95,-6.15,-5.05
-2.25,-6.75,-5.05,-8.95,2.85,5.05,5.05,-12.85,-4.45,-7.85,-5.65
-2.85,-8.35,-6.15,-9.45,2.25,4.45,3.95,-13.95,-5.05,-7.85,-6.75
-2.25,-8.95,-7.25,-9.45,2.85,4.45,4.45,-14.45,-5.65,-8.95,-7.25
-2.85,-9.45,-7.25,-10.05,1.15,4.45,3.35,-13.95,-8.91,-8.35,-7.25
-2.85,-8.95,-7.85,-10.65,0.65,3.95,2.85,-13.35,-8.91,-8.35,-7.25
-4.45,-8.95,-8.95,-10.65,1.15,3.95,2.25,-12.25,-10.05,-8.95,-7.85
-6.15,-8.95,-8.35,-10.65,0.05,3.35,1.75,-12.25,-10.65,-8.35,-9.45
-6.75,-8.95,-8.35,-10.65,0.05,3.35,2.25,-12.85,-10.05,-8.95,-8.35
-6.75,-8.95,-10.05,-10.65,-0.65,2.25,1.75,-13.35,-10.01,-9.45,-8.35
-7.25,-9.45,-11.15,-11.15,-1.75,1.15,0.65,-14.45,-11.15,-10.05,-9.45
-8.35,-10.65,-11.75,-12.25,-3.35,0.65,0.05,-15.05,-11.75,-10.65,-10.05
-8.95,-10.65,-11.75,-12.25,-3.95,0.05,-1.15,-14.45,-11.15,-11.15,-10.65
-9.45,-11.15,-12.25,-12.85,-5.05,-1.15,-1.75,-14.45,-10.65,-11.75,-11.15
-9.45,-11.15,-12.85,-12.85,-5.65,-2.25,-2.85,-15.05,-11.15,-12.25,-11.75
-10.05,-11.15,-12.85,-12.25,-6.75,-2.85,-3.95,-16.75,-11.75,-12.25,-11.75
-10.65,-12.25,-12.85,-12.25,-7.25,-4.45,-5.05,-17.85,-12.25,-12.25,-12.25
-10.65,-11.15,-12.85,-12.25,-7.85,-5.05,-5.65,-16.75,-12.25,-11.15,-12.25
-10.65,-11.15,-13.35,-12.25,-8.35,-5.05,-5.65,-17.25,-12.85,-11.15,-12.25
-10.05,-11.15,-13.35,-12.25,-8.35,-5.65,-6.15,-15.65,-13.35,-11.15,-12.25
-11.15,-11.15,-13.35,-11.75,-8.35,-6.15,-6.75,-16.75,-12.85,-11.15,-11.15
-10.65,-12.25,-13.35,-11.75,-8.95,-6.75,-6.75,-17.25,-12.85,-10.65,-11.15
-11.15,-10.65,-13.35,-11.75,-8.95,-6.75,-7.25,-18.95,-13.35,-10.65,-10.65
-11.15,-10.65,-13.35,-11.75,-8.95,-6.15,-6.75,-18.95,-12.85,-10.65,-10.65
-10.65,-9.45,-13.35,-11.75,-8.95,-6.15,-7.25,-17.85,-12.85,-10.65,-10.05
-10.65,-9.45,-12.85,-11.15,-8.35,-6.15,-6.75,-17.25,-12.85,-10.65,-10.65
-10.05,-10.05,-12.81,-11.75,-8.35,-6.15,-6.75,-15.65,-12.85,-10.65,-10.05
-9.45,-10.05,-12.25,-11.15,-8.35,-6.75,-7.25,-14.45,-12.25,-10.65,-10.05
-10.05,-9.45,-12.21,-10.65,-8.95,-6.75,-7.85,-12.25,-11.75,-10.05,-9.45
-9.45,-8.95,-11.71,-9.45,-8.35,-6.75,-7.25,-10.65,-11.15,-9.45,-9.45
-9.45,-8.95,-11.75,-9.45,-7.85,-6.75,-6.75,-9.45,-10.01,-7.85,-8.95
-8.35,-8.35,-11.15,-9.45,-7.85,-5.65,-6.75,-8.95,-8.95,-7.85,-8.35
-8.35,-7.85,-10.65,-8.95,-7.25,-5.65,-6.15,-8.35,-8.91,-7.85,-8.35
-8.35,-7.85,-10.05,-8.95,-7.25,-5.65,-6.15,-8.35,-8.95,-7.25,-7.85
-7.85,-7.85,-10.65,-8.95,-7.25,-5.65,-5.65,-8.35,-8.95,-7.25,-8.35
-9.45,-7.85,-11.15,-8.95,-7.25,-5.65,-5.65,-8.35,-9.45,-7.85,-8.95
-8.95,-7.85,-13.35,-9.45,-8.35,-6.15,-5.65,-8.95,-10.65,-8.95,-8.95
-9.45,-7.85,-12.85,-8.95,-8.95,-6.15,-6.15,-8.35,-11.75,-8.95,-8.95
-10.05,-7.85,-12.85,-8.95,-8.35,-5.65,-6.15,-8.35,-11.15,-8.95,-8.95
-11.75,-6.15,-12.25,-8.95,-8.35,-5.65,-5.65,-8.35,-12.25,-8.95,-8.35
-11.75,-6.15,-12.85,-8.95,-8.35,-5.65,-6.15,-8.95,-10.65,-8.35,-8.35
-10.05,-6.75,-12.85,-7.85,-8.95,-5.65,-5.65,-8.95,-11.15,-8.35,-8.95
-11.75,-6.75,-12.25,-8.35,-9.45,-6.15,-6.15,-8.95,-11.75,-9.45,-9.45
-11.15,-7.25,-12.25,-8.35,-9.45,-6.15,-6.15,-8.95,-12.85,-8.95,-9.45
-10.05,-7.33078894539909,-11.75,-9.45,-8.95,-6.15,-6.15,-8.95,-11.75,-8.95,-9.45
-10.05,-7.01286853998624,-11.15,-10.05,-8.35,-5.65,-6.15,-8.95,-10.65,-9.45,-9.45
-9.45,-6.75,-11.15,-10.05,-8.35,-5.65,-5.65,-8.95,-10.65,-9.45,-10.05
-10.05,-7.25,-11.15,-10.05,-8.35,-5.65,-5.65,-8.95,-10.05,-9.45,-9.45
-9.45,-8.95,-12.25,-10.05,-7.85,-5.05,-5.65,-8.95,-9.45,-9.45,-9.45
-9.45,-8.95,-12.25,-10.65,-7.85,-5.65,-6.15,-8.95,-8.95,-9.45,-9.45
-10.05,-9.45,-12.25,-11.75,-7.85,-5.65,-5.65,-11.75,-10.01,-10.05,-10.65
-8.35,-12.85,-12.25,-11.75,-6.75,-5.65,-5.65,-15.05,-10.01,-10.65,-9.45
-7.25,-15.05,-11.71,-13.35,-6.75,-4.45,-5.05,-16.75,-10.05,-12.85,-10.05
-7.25,-15.65,-11.75,-14.45,-5.65,-3.95,-4.45,-17.25,-10.65,-13.35,-11.15
-6.75,-16.15,-12.25,-14.45,-5.65,-4.45,-5.05,-17.85,-12.85,-14.45,-13.35
-6.15,-16.15,-13.35,-14.45,-6.15,-4.45,-5.65,-17.85,-13.95,-15.05,-15.05
-7.85,-16.75,-15.05,-15.05,-5.65,-4.45,-5.05,-18.95,-15.65,-14.45,-15.65
-10.65,-16.75,-16.15,-14.45,-6.75,-5.65,-3.95,-20.05,-16.75,-14.41,-15.65
-12.85,-17.25,-16.71,-14.45,-7.25,-5.65,-5.65,-20.65,-17.25,-14.41,-16.15
-13.95,-18.95,-17.25,-15.65,-8.95,-6.75,-6.75,-21.75,-18.35,-15.65,-16.15
-15.05,-20.05,-17.25,-15.65,-10.65,-7.85,-8.35,-22.25,-19.45,-15.61,-16.75
-15.65,-20.65,-17.85,-16.15,-11.75,-9.45,-9.45,-22.85,-19.45,-16.11,-16.75
-16.75,-21.15,-17.81,-16.75,-12.85,-10.65,-10.65,-23.95,-20.65,-15.61,-17.25
-17.25,-22.85,-17.85,-16.75,-13.35,-11.15,-11.75,-23.95,-21.75,-15.65,-17.85
-17.85,-27.85,-18.35,-16.75,-13.95,-11.75,-11.75,-24.45,-22.25,-15.61,-18.35
-18.35,-30.05,-18.31,-16.15,-13.95,-12.25,-12.25,-25.05,-23.35,-16.15,-18.35
-19.45,-31.75,-18.35,-15.05,-13.95,-12.25,-12.25,-25.65,-23.95,-15.65,-20.05
-20.05,-32.85,-19.45,-13.95,-14.45,-12.85,-12.25,-27.25,-25.05,-15.65,-20.05
-20.65,-31.75,-19.45,-13.95,-14.45,-12.85,-12.85,-27.25,-26.15,-15.05,-20.65
