"Ano","Dia","Hora","Temperatura"
2015,10,19,-12.25
2015,10,20,-12.85
2015,10,21,-13.35
2015,10,22,-13.35
2015,10,23,-13.35
2015,10,24,-12.85
2015,11,1,-13.35
2015,11,2,-12.25
2015,11,3,-11.75
2015,11,4,-11.75
2015,11,5,-11.15
2015,11,6,-11.15
2015,11,7,-10.65
2015,11,8,-10.65
2015,11,9,-10.05
2015,11,10,-9.45
2015,11,11,-8.95
2015,11,12,-7.85
2015,11,13,-6.15
2015,11,14,-5.65
2015,11,15,-4.45
2015,11,16,-3.35
2015,11,17,-2.25
2015,11,18,-1.75
2015,11,19,-1.75
2015,11,20,-1.15
2015,11,21,-1.15
2015,11,22,-1.15
2015,11,23,-1.15
2015,11,24,-1.75
2015,12,1,-1.75
2015,12,2,-1.75
2015,12,3,-2.81
2015,12,4,-2.85
2015,12,5,-3.35
2015,12,6,-3.35
2015,12,7,-2.85
2015,12,8,-2.85
2015,12,9,-2.25
2015,12,10,-2.21
2015,12,11,-1.71
2015,12,12,-1.11
2015,12,13,-0.65
2015,12,14,0.01
2015,12,15,0.05
2015,12,16,0.05
2015,12,17,-0.65
2015,12,18,-1.15
2015,12,19,-1.75
2015,12,20,-2.85
2015,12,21,-2.85
2015,12,22,-2.85
2015,12,23,-3.35
2015,12,24,-4.45
2015,13,1,-7.25
2015,13,2,-8.95
2015,13,3,-10.05
2015,13,4,-12.85
2015,13,5,-14.45
2015,13,6,-15.65
2015,13,7,-16.75
2015,13,8,-17.85
2015,13,9,-18.95
2015,13,10,-18.35
2015,13,11,-17.85
2015,13,12,-16.75
2015,13,13,-15.65
2015,13,14,-13.95
2015,13,15,-12.85
2015,13,16,-12.25
2015,13,17,-12.25
2015,13,18,-13.35
2015,13,19,-13.95
2015,13,20,-15.65
2015,13,21,-16.15
2015,13,22,-16.75
2015,13,23,-17.25
2015,13,24,-17.85
2015,14,1,-18.35
2015,14,2,-19.45
2015,14,3,-19.45
2015,14,4,-20.05
2015,14,5,-20.65
2015,14,6,-20.05
2015,14,7,-19.45
2015,14,8,-19.45
2015,14,9,-18.35
2015,14,10,-16.15
2015,14,11,-15.05
2015,14,12,-11.75
2015,14,13,-8.95
2015,14,14,-7.25
2015,14,15,-6.15
2015,14,16,-5.05
2015,14,17,-5.65
2015,14,18,-5.65
2015,14,19,-6.15
2015,14,20,-7.25
2015,14,21,-7.25
2015,14,22,-7.85
2015,14,23,-7.85
2015,14,24,-8.35
2015,15,1,-8.95
2015,15,2,-8.95
2015,15,3,-10.01
2015,15,4,-11.11
2015,15,5,-12.81
2015,15,6,-12.85
2015,15,7,-13.35
2015,15,8,-13.35
2015,15,9,-14.45
2015,15,10,-12.25
2015,15,11,-11.15
2015,15,12,-9.45
2015,15,13,-7.85
2015,15,14,-7.25
2015,15,15,-5.05
2015,15,16,-4.45
2015,15,17,-4.45
2015,15,18,-5.05
2015,15,19,-5.05
2015,15,20,-5.05
2015,15,21,-5.05
2015,15,22,-4.45
2015,15,23,-5.05
2015,15,24,-5.05
2015,16,1,-5.05
2015,16,2,-5.05
2015,16,3,-5.05
2015,16,4,-5.05
2015,16,5,-5.65
2015,16,6,-5.65
2015,16,7,-5.05
2015,16,8,-3.95
2015,16,9,-3.95
2015,16,10,-3.35
2015,16,11,-3.31
2015,16,12,-5.01
2015,16,13,-6.11
2015,16,14,-6.71
2015,16,15,-7.85
2015,16,16,-7.25
2015,16,17,-8.95
2015,16,18,-10.65
2015,16,19,-11.15
2015,16,20,-11.75
2015,16,21,-12.25
2015,16,22,-12.85
2015,16,23,-13.35
2015,16,24,-13.95
2015,17,1,-13.95
2015,17,2,-15.05
2015,17,3,-15.05
2015,17,4,-15.05
2015,17,5,-15.65
2015,17,6,-15.65
2015,17,7,-15.65
2015,17,8,-16.15
2015,17,9,-16.15
2015,17,10,-16.75
2015,17,11,-13.95
2015,17,12,-12.25
2015,17,13,-10.05
2015,17,14,-8.95
2015,17,15,-7.25
2015,17,16,-5.65
2015,17,17,-5.05
2015,17,18,-5.05
2015,17,19,-5.05
2015,17,20,-5.05
2015,17,21,-5.05
2015,17,22,-5.65
2015,17,23,-6.15
2015,17,24,-5.65
2015,18,1,-5.65
2015,18,2,-5.65
2015,18,3,-5.65
2015,18,4,-5.05
2015,18,5,-5.05
2015,18,6,-3.95
2015,18,7,-3.35
2015,18,8,-1.75
2015,18,9,-1.15
2015,18,10,-0.65
2015,18,11,0.05
2015,18,12,1.75
2015,18,13,2.25
2015,18,14,3.35
2015,18,15,2.85
2015,18,16,2.85
2015,18,17,2.25
2015,18,18,1.75
2015,18,19,1.75
2015,18,20,1.15
2015,18,21,0.65
2015,18,22,0.05
2015,18,23,0.05
2015,18,24,0.05
2015,19,1,0.05
2015,19,2,0.05
2015,19,3,0.05
2015,19,4,0.05
2015,19,5,-0.65
2015,19,6,-0.65
2015,19,7,-1.15
2015,19,8,-1.15
2015,19,9,-1.75
2015,19,10,-1.75
2015,19,11,-1.75
2015,19,12,-1.75
2015,19,13,-1.75
2015,19,14,-1.15
2015,19,15,-1.15
2015,19,16,-1.15
2015,19,17,-2.25
2015,19,18,-3.35
2015,19,19,-3.95
2015,19,20,-3.95
2015,19,21,-3.95
2015,19,22,-4.45
2015,19,23,-4.45
2015,19,24,-4.45
2015,20,1,-4.45
2015,20,2,-5.05
2015,20,3,-5.65
2015,20,4,-5.65
2015,20,5,-5.65
2015,20,6,-6.15
2015,20,7,-6.15
2015,20,8,-6.75
2015,20,9,-6.75
2015,20,10,-6.75
2015,20,11,-6.75
2015,20,12,-6.15
2015,20,13,-5.05
2015,20,14,-4.45
2015,20,15,-3.95
2015,20,16,-5.05
2015,20,17,-5.65
2015,20,18,-6.15
2015,20,19,-7.25
2015,20,20,-7.85
2015,20,21,-8.35
2015,20,22,-8.95
2015,20,23,-10.05
2015,20,24,-11.15
2015,21,1,-11.15
2015,21,2,-11.75
2015,21,3,-12.25
2015,21,4,-12.25
2015,21,5,-12.85
2015,21,6,-12.85
2015,21,7,-11.75
2015,21,8,-15.05
2015,21,9,-15.65
2015,21,10,-13.95
2015,21,11,-13.95
2015,21,12,-12.85
2015,21,13,-11.15
2015,21,14,-9.45
2015,21,15,-7.85
2015,21,16,-6.75
2015,21,17,-5.65
2015,21,18,-5.05
2015,21,19,-5.05
2015,21,20,-5.05
2015,21,21,-5.05
2015,21,22,-5.05
2015,21,23,-5.65
2015,21,24,-6.15
2015,22,1,-6.15
2015,22,2,-6.15
2015,22,3,-6.75
2015,22,4,-6.75
2015,22,5,-6.75
2015,22,6,-6.75
2015,22,7,-6.15
2015,22,8,-6.15
2015,22,9,-6.15
2015,22,10,-5.05
2015,22,11,-5.05
2015,22,12,-5.65
2015,22,13,-5.65
2015,22,14,-5.05
2015,22,15,-3.35
2015,22,16,-3.35
2015,22,17,-3.95
2015,22,18,-5.05
2015,22,19,-6.15
2015,22,20,-6.75
2015,22,21,-7.25
2015,22,22,-7.85
2015,22,23,-7.25
2015,22,24,-8.95
2015,23,1,-7.85
2015,23,2,-7.25
2015,23,3,-8.95
2015,23,4,-8.95
2015,23,5,-10.05
2015,23,6,-10.65
2015,23,7,-11.75
2015,23,8,-10.05
2015,23,9,-9.45
2015,23,10,-8.95
2015,23,11,-8.35
2015,23,12,-6.75
2015,23,13,-5.65
2015,23,14,-4.45
2015,23,15,-3.35
2015,23,16,-2.25
2015,23,17,-2.25
2015,23,18,-2.25
2015,23,19,-2.85
2015,23,20,-3.35
2015,23,21,-3.35
2015,23,22,-3.35
2015,23,23,-3.35
2015,23,24,-3.35
2015,24,1,-3.35
2015,24,2,-3.35
2015,24,3,-3.95
2015,24,4,-3.35
2015,24,5,-3.35
2015,24,6,-3.35
2015,24,7,-3.35
2015,24,8,-3.35
2015,24,9,-3.31
2015,24,10,-2.81
2015,24,11,-1.75
2015,24,12,-1.75
2015,24,13,-0.65
2015,24,14,0.05
2015,24,15,1.15
2015,24,16,1.15
2015,24,17,-0.65
2015,24,18,-3.35
2015,24,19,-3.35
2015,24,20,-3.35
2015,24,21,-3.35
2015,24,22,-3.35
2015,24,23,-3.35
2015,24,24,-2.85
2015,25,1,-2.25
2015,25,2,-2.25
2015,25,3,-2.25
2015,25,4,-1.75
2015,25,5,-1.75
2015,25,6,-1.75
2015,25,7,-1.75
2015,25,8,-2.85
2015,25,9,-5.05
2015,25,10,-5.65
2015,25,11,-6.15
2015,25,12,-6.15
2015,25,13,-6.75
2015,25,14,-5.65
2015,25,15,-6.15
2015,25,16,-6.75
2015,25,17,-7.25
2015,25,18,-8.95
2015,25,19,-10.05
2015,25,20,-10.65
2015,25,21,-11.75
2015,25,22,-12.25
2015,25,23,-12.85
2015,25,24,-13.35
2015,26,1,-13.35
2015,26,2,-13.95
2015,26,3,-13.95
2015,26,4,-13.95
2015,26,5,-13.95
2015,26,6,-13.95
2015,26,7,-13.95
2015,26,8,-14.45
2015,26,9,-13.95
2015,26,10,-13.95
2015,26,11,-12.85
2015,26,12,-12.21
2015,26,13,-11.11
2015,26,14,-10.05
2015,26,15,-9.45
2015,26,16,-8.95
2015,26,17,-8.95
2015,26,18,-8.95
2015,26,19,-8.95
2015,26,20,-8.95
2015,26,21,-8.95
2015,26,22,-8.95
2015,26,23,-8.95
2015,26,24,-8.95
2015,27,1,-8.95
2015,27,2,-9.45
2015,27,3,-9.45
2015,27,4,-9.45
2015,27,5,-10.05
2015,27,6,-10.05
2015,27,7,-10.05
2015,27,8,-10.65
2015,27,9,-10.65
2015,27,10,-10.65
2015,27,11,-11.15
2015,27,12,-10.65
2015,27,13,-10.65
2015,27,14,-10.65
2015,27,15,-10.65
2015,27,16,-10.05
2015,27,17,-11.15
2015,27,18,-12.25
2015,27,19,-12.85
2015,27,20,-13.35
2015,27,21,-13.35
2015,27,22,-13.95
2015,27,23,-13.95
2015,27,24,-13.35
2015,28,1,-13.95
2015,28,2,-13.35
2015,28,3,-13.35
2015,28,4,-13.35
2015,28,5,-13.35
2015,28,6,-13.35
2015,28,7,-13.35
2015,28,8,-13.95
2015,28,9,-13.35
2015,28,10,-12.25
2015,28,11,-11.15
2015,28,12,-9.45
2015,28,13,-8.35
2015,28,14,-7.25
2015,28,15,-6.15
2015,28,16,-5.65
2015,28,17,-6.15
2015,28,18,-7.25
