"","lr","Mediana","Média","Mínimo","Máximo","Desvio-padrão"
"1",0.0465364168236498,1927.05584716797,"82028.3426208496","1506.30773925781","638448.25","224833.050428106"
"2",0.01,1970.84320068359,"91915.9072113037","1708.52502441406","711261.3125","250278.332129596"
"3",0.0881991147409473,1939.11706542969,"72318.3816986084","1518.68249511719","561990.9375","197860.565696385"
"4",0.01,1928.69915771484,"91364.7825775146","1339.92419433594","711256.375","250485.679412648"
"5",0.0242012058128766,1960.35668945312,"87631.515335083","1408.3427734375","682315.875","240297.29653948"
"6",0.0242012058128766,2398.60461425781,"87370.4258422852","1633.45422363281","682319.875","240396.653814175"
"7",0.0242012058128766,2017.85467529297,"87532.5384674072","1686.31945800781","682315.4375","240331.798384315"
"8",0.0242012058128766,2238.93383789062,"87494.9200592041","1585.5634765625","682309.625","240343.164022772"
"9",0.0242012058128766,1924.41027832031,"87642.6807556152","1459.046875","682321.3125","240295.57967457"
"10",0.0235920091076358,1871.92169189453,"87555.7311859131","1684.5849609375","683536.5625","240815.551453857"
"11",0.0242012058128766,1932.01702880859,"87298.5897216797","1301.84533691406","682299.125","240418.659242534"
