"","lr","Mediana","Média","Mínimo","Máximo","Desvio-padrão"
"1",0.0242012058128766,5267.62670898438,"155265.585952759","1586.38159179688","1197180.5","421039.774509652"
"2",0.0242012058128766,4162.48156738281,"154814.480133057","1385.57849121094","1197179.5","421233.897126154"
"3",0.0235920091076358,5302.3017578125,"155824.969940186","1337.08166503906","1198800.875","421508.150307925"
"4",0.0242012058128766,3979.96118164062,"154642.940124512","1245.97680664062","1197173.25","421303.804602678"
"5",0.0465364168236498,7891.44262695312,"148040.792297363","1754.05053710938","1138772.875","400337.44257633"
"6",0.0465364168236498,7038.67358398438,"147890.083862305","2091.27319335938","1138774.625","400396.603292695"
"7",0.0881991147409473,7478.12719726562,"134904.055389404","2383.99658203125","1035460.4375","363896.954769772"
"8",0.0465364168236498,4835.41186523438,"146823.601593018","1365.30395507812","1138761.875","400817.670413318"
"9",0.0465364168236498,4450.15454101562,"146612.488739014","1362.78686523438","1138776.375","400909.255326233"
"10",0.0242012058128766,2156.62927246094,"155568.103302002","1318.07983398438","1197180.125","421010.806675987"
"11",0.0235920091076358,3297.21923828125,"154360.818084717","1702.04650878906","1198803.25","422049.112272245"
