"Result","V1","V2","V3","V4","V5","V6"
"result.1","0","0","0","0","0","0"
"result.1","1","0","0","0","0","0"
"result.1","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.1","0.01","5116.87255859375","179026.766265869","1407.22546386719","1374350.375","483056.960345088"
"result.1","0.0242012058128766","5719.4306640625","172142.699478149","1767.0185546875","1334393.25","469648.993828043"
"result.1","0.0235920091076358","4867.56701660156","171880.68031311","1299.81066894531","1336079.5","470430.16760398"
"result.1","0.0881991147409473","4890.10925292969","149869.574630737","1633.97631835938","1165059.625","410211.800537368"
"result.1","0.0465364168236498","5895.86157226562","163920.714035034","1621.39416503906","1273322.625","448280.998444756"
"result.1","0.0895219530763477","5932.2763671875","149801.062896729","2117.9013671875","1161729.625","408887.328504076"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.2","0","0","0","0","0","0"
"result.2","2","0","0","0","0","0"
"result.2","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.2","0.01","8046.77319335938","178374.361419678","2130.23974609375","1374351.25","483267.355227169"
"result.2","0.0242012058128766","7627.65063476562","172695.75769043","2896.75219726562","1334383.75","469404.378613864"
"result.2","0.0235920091076358","8085.08032226562","172358.922912598","2423.20678710938","1336081.625","470223.187545269"
"result.2","0.0881991147409473","6096.67578125","151235.184234619","2566.27075195312","1165069.625","409667.990759705"
"result.2","0.0465364168236498","6941.6328125","165179.513793945","2805.7412109375","1273289.875","447759.735128779"
"result.2","0.0895219530763477","7432.10131835938","151835.854431152","3057.73291015625","1161771.25","408089.64755745"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.3","0","0","0","0","0","0"
"result.3","3","0","0","0","0","0"
"result.3","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.3","0.01","4858.955078125","177233.130584717","1582.86499023438","1374351.5","483733.223208828"
"result.3","0.0242012058128766","6284.82397460938","171646.744888306","1602.19372558594","1334383.25","469825.892692824"
"result.3","0.0235920091076358","5616.73657226562","171684.994186401","1704.45739746094","1336085.125","470501.279368498"
"result.3","0.0881991147409473","5830.38720703125","151200.941848755","1883.18444824219","1165092.75","409700.012062474"
"result.3","0.0465364168236498","5927.88159179688","163633.825576782","1827.54333496094","1273301.875","448381.529738948"
"result.3","0.0895219530763477","5329.6767578125","149547.1043396","1757.07421875","1161777.375","409010.147028824"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.4","0","0","0","0","0","0"
"result.4","4","0","0","0","0","0"
"result.4","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.4","0.01","9496.44189453125","177940.97064209","2280.78076171875","1374355.25","483439.748557383"
"result.4","0.0242012058128766","7334.67260742188","172013.672332764","1844.02880859375","1334389.875","469685.326532122"
"result.4","0.0235920091076358","6745.40844726562","172492.326019287","2231.18872070312","1336075.25","470168.607332989"
"result.4","0.0881991147409473","6279.96105957031","150830.23550415","2064.31518554688","1165076.625","409831.478384142"
"result.4","0.0465364168236498","5991.5576171875","164449.139755249","2014.74597167969","1273311.5","448066.920930459"
"result.4","0.0895219530763477","7314.513671875","150964.940460205","2228.0126953125","1161770.5","408439.458918594"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.5","0","0","0","0","0","0"
"result.5","5","0","0","0","0","0"
"result.5","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.5","0.01","6745.53930664062","178155.226364136","1432.9638671875","1374351.25","483368.219122887"
"result.5","0.0242012058128766","5063.31005859375","171411.889862061","1127.50244140625","1334384.5","469924.455591425"
"result.5","0.0235920091076358","5476.33203125","171189.774169922","1204.32690429688","1336087.75","470698.916357053"
"result.5","0.0881991147409473","4154.76916503906","149249.347518921","1168.61437988281","1165108.125","410474.559492998"
"result.5","0.0465364168236498","3958.26196289062","162455.038375854","1475.86340332031","1273312","448857.685067299"
"result.5","0.0895219530763477","4117.05908203125","149940.663208008","2714.22143554688","1161745.875","408846.225504774"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.6","0","0","0","0","0","0"
"result.6","6","0","0","0","0","0"
"result.6","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.6","0.01","7962.224609375","178869.108169556","1495.99841308594","1374349.625","483088.955777958"
"result.6","0.0242012058128766","7486.29638671875","172290.517364502","1084.23583984375","1334384.625","469577.014372809"
"result.6","0.0235920091076358","8700.42822265625","172647.743743896","1403.6689453125","1336083.75","470116.924885309"
"result.6","0.0881991147409473","6442.33642578125","150453.831039429","1546.85913085938","1165061.125","409977.679912107"
"result.6","0.0465364168236498","6632.404296875","164098.295913696","1641.61877441406","1273289.125","448195.058460106"
"result.6","0.0895219530763477","8721.41650390625","151882.480102539","1398.1015625","1161776.25","408075.194812278"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.7","0","0","0","0","0","0"
"result.7","7","0","0","0","0","0"
"result.7","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.7","0.01","5224.95141601562","178045.392120361","1247.04577636719","1374353.875","483417.956998496"
"result.7","0.0242012058128766","5778.82666015625","170878.661560059","1428.97631835938","1334394.125","470137.807806407"
"result.7","0.0235920091076358","4956.1455078125","170648.895568848","1916.72436523438","1336075.25","470907.705516815"
"result.7","0.0881991147409473","4537.29345703125","149259.640136719","1580.86669921875","1165084.625","410461.084605167"
"result.7","0.0465364168236498","5005.49755859375","162702.226547241","1473.76574707031","1273308.875","448758.52231403"
"result.7","0.0895219530763477","4302.86096191406","148710.989532471","1594.9111328125","1161754.125","409336.914510979"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.8","0","0","0","0","0","0"
"result.8","8","0","0","0","0","0"
"result.8","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.8","0.01","8259.78637695312","178817.571884155","1916.85119628906","1374353.5","483094.913157651"
"result.8","0.0242012058128766","7718.54223632812","172084.839996338","2173.35302734375","1334379.75","469648.80788033"
"result.8","0.0235920091076358","8182.92993164062","172902.667877197","1777.67724609375","1336080.25","470010.629599603"
"result.8","0.0881991147409473","7185.42797851562","151719.955596924","2472.69213867188","1165073.5","409469.933770587"
"result.8","0.0465364168236498","5147.87377929688","163925.04095459","2350.134765625","1273283.375","448260.315479896"
"result.8","0.0895219530763477","6706.60400390625","151527.359130859","2038.79541015625","1161735.75","408212.63317423"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.9","0","0","0","0","0","0"
"result.9","9","0","0","0","0","0"
"result.9","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.9","0.01","7079.58325195312","178317.909835815","1902.14929199219","1374354.125","483299.697501083"
"result.9","0.0242012058128766","7411.25341796875","172393.174072266","2374.431640625","1334385.125","469525.343879335"
"result.9","0.0235920091076358","6749.2802734375","172571.615203857","1956.4365234375","1336079.25","470142.824740886"
"result.9","0.0881991147409473","5254.80249023438","151711.504669189","2458.451171875","1165048.25","409493.586388672"
"result.9","0.0465364168236498","6679.53955078125","164344.691055298","1937.76989746094","1273297.25","448097.277426646"
"result.9","0.0895219530763477","8949.5029296875","151673.058258057","2098.29467773438","1161795.5","408168.565120444"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.10","0","0","0","0","0","0"
"result.10","10","0","0","0","0","0"
"result.10","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.10","0.01","7835.15405273438","177969.616424561","1942.44067382812","1374350.125","483430.19030464"
"result.10","0.0242012058128766","7278.48461914062","172324.926391602","2183.34228515625","1334383.75","469554.185461676"
"result.10","0.0235920091076358","8265.78198242188","172442.443069458","1974.63171386719","1336078","470192.768153727"
"result.10","0.0881991147409473","6236.02514648438","151120.576965332","2883.248046875","1165070.125","409709.188853154"
"result.10","0.0465364168236498","5943.80078125","164077.895874023","2008.74755859375","1273300.75","448206.81771361"
"result.10","0.0895219530763477","6342.69750976562","151093.76184082","2366.26025390625","1161771.25","408403.236487131"
"","","","","","",""
"Result","V1","V2","V3","V4","V5","V6"
"result.11","0","0","0","0","0","0"
"result.11","11","0","0","0","0","0"
"result.11","lr","mediana","média","mínimo","máximo","desvio-padrão"
"result.11","0.01","6457.07836914062","178427.163421631","1819.3037109375","1374350.125","483263.291788287"
"result.11","0.0242012058128766","6629.31616210938","172186.808746338","2107.98828125","1334379.5","469611.796546104"
"result.11","0.0235920091076358","5987.60815429688","172274.860565186","2400.03662109375","1336078","470256.878387108"
"result.11","0.0881991147409473","5124.353515625","150479.137817383","2970.84106445312","1165095.125","409976.033157158"
"result.11","0.0465364168236498","5653.46484375","164173.093734741","1848.44091796875","1273290.75","448168.331474649"
"result.11","0.0895219530763477","5725.89453125","149882.789764404","2435.53491210938","1161752.125","408863.403160409"
"","","","","","",""
